Name,Glass,Main Alcohol,Ingredients,Ingredients2,Ingredients3,Ingredients4,Ingredients5,Ingredients6,Ingredients7,Garnish,Alcoholicity,Taste(Sweet),Technique,Color,TPO,VideoLink,Tag,설명,ImageURL
7 & 7,Highball,"Seagram's Seven Crown, 60ml","7up, 180ml",,,,,,,,2,3,Build,Beige,No,https://www.youtube.com/watch?v=KU9kzmSAqqM,세븐앤세븐,,https://w.namu.la/s/b0fee77e98401edba4228f6de98021ee382d187ad3c187340656ed7a0fab68548d31f3dfee2e402f759f219800cb8dc786707bdd1af6053be364a118b835305b36318ed5d7a671078cade801adf684d35d7e95f81239176c5848ca85928a8196
Cuba Libre,Highball,"Light Rum, 45ml","Coke, Fill up",,,,,,,Squeeze and garnish with lime,2,3,Build,Maroon,Yes,https://www.youtube.com/watch?v=T6fd3fHjz7A,"쿠바 리브레, 럼콕, 럼앤콕",,https://ww.namu.la/s/2d249aa0852e3ddde0dd9fb2b18ef278b134ba627ee24622511ed519c70efd028c7e5ef20cc23b59feb3d57c87adc4fa1f9feac2bb0ab909d8e118a067f50ed1f2a08532f1b9608f73c7fe62154bfbf4b040d8090b52bc6579ff9291790cec60
Gin and Tonic,"Highball, Rocks","Gin, 45ml","Tonic, Fill up",,,,,,,Squeeze and garnish with lime,2,2,Build,White,No,https://www.youtube.com/watch?v=g50FSf16JBY,"진토닉, 진앤토닉",,https://ww.namu.la/s/1676ec134c110d1073d047a13b330acea46fd83f9fdb75bcd5d58962a6d0788dbb12496c0748bfffad5cf235561407962bd0b3ba83f9f43ba3d39d7165f1bd3a8508a24fb24f16c6863bcae51c8cc1c19f70ade755624e56c0d3d9e32571ba37c93d359b423754102a68d1337a62a3fa
Gin Rickey,Highball,"Gin, 45ml","Soda, Fill up",,,,,,,Squeeze and garnish with lime,2,2,Build,White,No,https://www.youtube.com/watch?v=ez7C2V-uqBw,진 리키,,https://w.namu.la/s/770f045d0c414663cd5eafc8f9ad14d9f6e5a4c6a15a9d2a9d5e27347036a7993bdf211c23b8db4953e1b056d05ae1e9080ea31bf936f7a7ea6e3c84cc914c45ca5e921ab776242b5470027818b5dd5da2fa6fc52d60df61ddfcb12a223f44701535c2cdbce67fc5a26b0799d291abff
Joe Rickey,Highball,"Bourbon or Lye, 45ml","Soda, Fill up",,,,,,,Squeeze and garnish with lime,2,2,Build,Beige,No,https://www.youtube.com/watch?v=w-CxiAnfmMQ,조 리키,,https://w.namu.la/s/770f045d0c414663cd5eafc8f9ad14d9f6e5a4c6a15a9d2a9d5e27347036a7993bdf211c23b8db4953e1b056d05ae1e9080ea31bf936f7a7ea6e3c84cc914c45ca5e921ab776242b5470027818b5dd5da2fa6fc52d60df61ddfcb12a223f44701535c2cdbce67fc5a26b0799d291abff
Old Fashioned,Old Fashioned,"Bourbon, 45ml","Cubed Sugar, 1","Angostura Bitter, 1 dash","Soda, 15ml",,,,,Orange Slice and Maraschino cherry,4,2,Build,Brown,Yes,https://www.youtube.com/watch?v=mycKEmhkj-E,올드패션드,각설탕을 녹이는것이 어렵다면 심플시럽을 이용해도 무방하다.,https://w.namu.la/s/dabb76c5554b928ed13c9eeb7a463ab0a866cef9c4e8677f3fb8c89263358924be28ba7e4a0bf8ed0c39f5d7b5ab5d2056b02a2f41b3c603e9d02b1c023bfc84e1fea831ead7a4aff981bc8b7cb2e5d4918042e4373d3b5b7a8812fae96a3eabf468a0a4bb5f22821afaa7eee595fc89
Bloody Mary,Highball,"Vodka, 45ml","Worcestershire Sauce, 1 tsp","Tabasco Sauce, 1dash",Salt and Pepper - Pinch of,"Tomato Juice, Fill up",,,,A Slice of Lemon or Celery,2,1,Build,Red,Yes,https://www.youtube.com/watch?v=PzNDi1_gs90,블러디 메리,개인적으로 시중에서 쉽게 구할 수 있는 토마토주스의 대부분은 당도가 높게 처리된 것이 많아 어울리지 않는다. 따라서 V8 주스와 같은 당도가 적은 토마토주스를 추천한다.,https://w.namu.la/s/34e3a6e7ae778d2a4c8e8d074e2ce02e7848ff56af746e2abd1b74cf8dd5f2e012ef6a0747cfded415fe929b0b72c9919e170a3ee90665d92ae792724f81749ff6069ba5442fb9921b55f3008f6dabcf97a7811f297f93bb4c75c88247e7a48c
Greyhound,Old Fashioned,"Vodka, 45ml","Grapefruit Juice, Fill up",Salt - Pinch of,,,,,,Lime Slice,2,3,Build,Pink,No,https://www.youtube.com/watch?v=zabeqsJKgA4,그레이 하운드,,"https://www.liquor.com/thmb/_9yOso-Yc0lRT14ATMpMTx3HFas=/720x720/filters:fill(auto,1)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__04__22121207__greyhound-720x720-recipe-22cfd37cb7264186b121d25082ec7d4e.jpg"
Salty Dog,Highball,"Vodka, 45ml","Grapefruit Juice, Fill up",,,,,,,Salt around glass rim,2,3,Build,Pink,No,https://www.youtube.com/watch?v=KdHSG4cUTH8,"솔티 독, 솔티 도그",그레이 하운드와 다르게 화이트 자몽을 쓰는 경우가 많다.,https://t1.daumcdn.net/cfile/blog/2508B735558BDBB330
Screwdriver,"Highball, Old Fashioned","Vodka, 45ml","Orange Juice, Fill up",,,,,,,Orange Slice and Maraschino cherry,2,3,Build,Orange,No,https://www.youtube.com/watch?v=ASuf8XVA1lk,스크류 드라이버,,https://t1.daumcdn.net/cfile/blog/254A8B3E558AB8142E
Harvey Wallbanger,Highball,"Vodka, 45ml","Galliano, 15ml","Orange Juice, Fill up",,,,,,Orange Slice and Maraschino cherry,2,2,Build,Orange,No,https://www.youtube.com/watch?v=jB9iKlsLxmE,하비 월뱅어,,https://blog.kakaocdn.net/dn/dhoiUn/btqHjXImMcJ/micfkpfzcpGqHrHHSQxShk/img.jpg
Tequila Sunrise,Footed Pilsner,"Tequila, 45ml","Orange Juice, Fill up","Grenadine, 15ml",,,,,,Orange Slice and Maraschino cherry,2,4,Build and Float,"Orange, Red",Yes,https://www.youtube.com/watch?v=NVeTGvwk8y0,"데킬라 선라이즈, 테킬라 선라이즈",,https://t1.daumcdn.net/cfile/blog/2724144D55B0076727
Cape Cod,Highball,"Vodka, 40ml","Cranberry Juice, Fill up",,,,,,,Lime Slice,2,3,Build,Red,No,https://www.youtube.com/watch?v=5oIPQZZBXks,케이프 코드,,https://pacock.com/files/attach/images/176/709/008/0cbf5de863235008d65c6f31e3b15051.jpg
Sea Breeze,Highball,"Vodka, 45ml","Cranberry Juice, 90ml","Grapefruit Juice, 15ml",,,,,,Maraschino cherry,2,3,Build,Red,Yes,https://www.youtube.com/watch?v=EuDqLyiOkRo,시 브리즈,,https://bellyfull.net/wp-content/uploads/2021/04/Seabreeze-Cocktail-blog-2.jpg
Bay Breeze,Highball,"Vodka, 45ml","Cranberry Juice, 90ml","Pineapple Juice, 15ml",,,,,,Maraschino cherry,2,3,Build,Red,No,https://www.youtube.com/watch?v=vXiJn4iLeMk,베이 브리즈,,https://w7.pngwing.com/pngs/418/217/png-transparent-cocktail-garnish-bay-breeze-sea-breeze-bloody-mary-cola-ice-glass-cocktail-non-alcoholic-beverage-orange-drink.png
Madras,Highball,"Vodka, 45ml","Cranberry Juice, 90ml","Orange Juice, 15ml",,,,,,Maraschino cherry,2,3,Build,Orange,No,https://www.youtube.com/watch?v=ZqkC6frr0wM,마드라스,,https://i1.wp.com/familyaroundthetable.com/wp-content/uploads/2020/11/Madras.jpg?resize=720%2C720&ssl=1
Sex On The Beach,Hurricane,"Vodka, 45ml","Peach Schnapps, 15ml","Cranberry Juice, 60ml","Orange Juice, 60ml",,,,,Maraschino cherry,2,4,Shake,Orange,No,https://www.youtube.com/watch?v=d8tJn3OPGgE,섹스 온 더 비치,,https://dailyshotassets.s3-accelerate.amazonaws.com/media/cocktails/%25Y/%25m/%25d/2db27626-ee21-4497-aafe-ad8c15b42dde.jpg
